GWAS Gene,PUBMEDID,STUDY,DISEASE/TRAIT,INITIAL SAMPLE SIZE,REPLICATION SAMPLE SIZE,REGION,CHR_ID,CHR_POS,STRONGEST SNP-RISK ALLELE,SNPS,SNP_ID_CURRENT,P-VALUE
APOE,23562540,GWAS of cerebrospinal fluid tau levels identifies risk variants for Alzheimer's disease.,Alzheimer's disease biomarkers,"591 European ancestry cases, 687 European ancestry controls",,19q13.32,19,44906745,rs769449-A,rs769449,769449,2.00E-18
APOE,26993346,Genetic risk factors for the posterior cortical atrophy variant of Alzheimer's disease.,Posterior cortical atrophy and Alzheimer's disease,"293 cases, 10,547 healthy controls",NA,19q13.32,19,44892362,rs2075650-?,rs2075650,2075650,6.00E-14
APOE,19734902,Genome-wide association study identifies variants at CLU and PICALM associated with Alzheimer's disease.,Alzheimer's disease,"3,941 European ancestry cases, 7,848 European ancestry controls","2,023 European ancestry cases, 2,340 European ancestry controls",19q13.32,19,44892362,rs2075650-?,rs2075650,2075650,2.00E-157
APOE,28714976,"Rare coding variants in PLCG2, ABI3, and TREM2 implicate microglial-mediated innate immunity in Alzheimer's disease.",Alzheimer's disease (late onset),"up to 16,097 European ancestry cases, up to 18,077 European ancestry controls","up to 20,693 European ancestry cases, up to 30,266 European ancestry controls",19q13.32,19,44908822,rs7412-?,rs7412,7412,3.00E-105
HMGA2,27770636,"Two novel loci, COBL and SLC10A2, for Alzheimer's disease in African Americans.",Late-onset Alzheimer's disease,"1,825 African American ancestry cases, 3,784 African American ancestry controls",,12q14.3,12,65859519,rs145282773-T,rs145282773,145282773,2.00E-06
ANKRD22,27770636,"Two novel loci, COBL and SLC10A2, for Alzheimer's disease in African Americans.",Late-onset Alzheimer's disease,"1,825 African American ancestry cases, 3,784 African American ancestry controls",,10q23.31,10,88850285,rs147285445-T,rs147285445,147285445,4.00E-06
MECOM,27770636,"Two novel loci, COBL and SLC10A2, for Alzheimer's disease in African Americans.",Late-onset Alzheimer's disease,"1,825 African American ancestry cases, 3,784 African American ancestry controls",,3q26.2,3,169273046,rs115798104-A,rs115798104,115798104,9.00E-07
AKR7A3,27770636,"Two novel loci, COBL and SLC10A2, for Alzheimer's disease in African Americans.",Late-onset Alzheimer's disease,"1,825 African American ancestry cases, 3,784 African American ancestry controls",,1p36.13,1,19288434,rs117022236-A,rs117022236,117022236,4.00E-06
IRAK1BP1,27770636,"Two novel loci, COBL and SLC10A2, for Alzheimer's disease in African Americans.",Late-onset Alzheimer's disease,"1,825 African American ancestry cases, 3,784 African American ancestry controls",,6q14.1,6,78889320,rs140587050-C,rs140587050,140587050,5.00E-06
SCAPER,27770636,"Two novel loci, COBL and SLC10A2, for Alzheimer's disease in African Americans.",Late-onset Alzheimer's disease,"1,825 African American ancestry cases, 3,784 African American ancestry controls",,15q24.3,15,76713822,rs183291664-T,rs183291664,183291664,3.00E-06
SCAPER,27770636,"Two novel loci, COBL and SLC10A2, for Alzheimer's disease in African Americans.",Late-onset Alzheimer's disease,"1,825 African American ancestry cases, 3,784 African American ancestry controls",,15q24.3,15,76352686,rs144077517-A,rs144077517,144077517,2.00E-06
CEP63,27770636,"Two novel loci, COBL and SLC10A2, for Alzheimer's disease in African Americans.",Late-onset Alzheimer's disease,"1,825 African American ancestry cases, 3,784 African American ancestry controls",,3q22.2,3,134501479,rs142076474-A,rs142076474,142076474,4.00E-06
GLTSCR1,27770636,"Two novel loci, COBL and SLC10A2, for Alzheimer's disease in African Americans.",Late-onset Alzheimer's disease,"1,825 African American ancestry cases, 3,784 African American ancestry controls",,19q13.33,19,47635083,rs191404864-A,rs191404864,191404864,5.00E-06
COBL,27770636,"Two novel loci, COBL and SLC10A2, for Alzheimer's disease in African Americans.",Late-onset Alzheimer's disease,"1,825 African American ancestry cases, 3,784 African American ancestry controls",,7p12.1,7,51510325,rs112404845-A,rs112404845,112404845,4.00E-08
ODZ4,27770636,"Two novel loci, COBL and SLC10A2, for Alzheimer's disease in African Americans.",Late-onset Alzheimer's disease,"1,825 African American ancestry cases, 3,784 African American ancestry controls",,11q14.1,11,78938571,rs143261188-C,rs143261188,143261188,3.00E-06
TMCO4,27770636,"Two novel loci, COBL and SLC10A2, for Alzheimer's disease in African Americans.",Late-onset Alzheimer's disease,"1,825 African American ancestry cases, 3,784 African American ancestry controls",,1p36.13,1,19693032,rs115078773-A,rs115078773,115078773,7.00E-06
SLC10A2,27770636,"Two novel loci, COBL and SLC10A2, for Alzheimer's disease in African Americans.",Late-onset Alzheimer's disease,"1,825 African American ancestry cases, 3,784 African American ancestry controls",,13q33.1,13,103011595,rs16961023-C,rs16961023,16961023,5.00E-08
DLC1,27770636,"Two novel loci, COBL and SLC10A2, for Alzheimer's disease in African Americans.",Late-onset Alzheimer's disease,"1,825 African American ancestry cases, 3,784 African American ancestry controls",,8p22,8,13182155,rs181990369-A,rs181990369,181990369,4.00E-06
GPR180,27770636,"Two novel loci, COBL and SLC10A2, for Alzheimer's disease in African Americans.",Late-onset Alzheimer's disease,"1,825 African American ancestry cases, 3,784 African American ancestry controls",,13q32.1,13,94628579,rs187295598-T,rs187295598,187295598,6.00E-06
BAALC,27770636,"Two novel loci, COBL and SLC10A2, for Alzheimer's disease in African Americans.",Late-onset Alzheimer's disease,"1,825 African American ancestry cases, 3,784 African American ancestry controls",,8q22.3,8,103186989,rs75635567-T,rs75635567,75635567,5.00E-06
SLMAP,27770636,"Two novel loci, COBL and SLC10A2, for Alzheimer's disease in African Americans.",Late-onset Alzheimer's disease,"1,825 African American ancestry cases, 3,784 African American ancestry controls",,3p14.3,3,57830215,rs115317194-T,rs115317194,115317194,2.00E-06
AOX1,27770636,"Two novel loci, COBL and SLC10A2, for Alzheimer's disease in African Americans.",Late-onset Alzheimer's disease,"1,825 African American ancestry cases, 3,784 African American ancestry controls",,2q33.1,2,200653321,rs75770912-A,rs75770912,75770912,8.00E-06
CDH1,27770636,"Two novel loci, COBL and SLC10A2, for Alzheimer's disease in African Americans.",Late-onset Alzheimer's disease,"1,825 African American ancestry cases, 3,784 African American ancestry controls",,16q22.1,16,68759780,rs76816469-T,rs76816469,76816469,1.00E-06
CDH1,19136949,Genetic variation in PCDH11X is associated with susceptibility to late-onset Alzheimer's disease.,Alzheimer's disease,"844 European ancestry cases, 1,255 European ancestry controls","1,547 European ancestry cases, 1,209 European ancestry controls",Xq21.31,X,92147221,rs2573905-?,rs2573905,2573905,2.00E-07
IQGAP2,27770636,"Two novel loci, COBL and SLC10A2, for Alzheimer's disease in African Americans.",Late-onset Alzheimer's disease,"1,825 African American ancestry cases, 3,784 African American ancestry controls",,5q13.3,5,76567335,rs61233297-A,rs61233297,61233297,8.00E-06
TIMP2,27770636,"Two novel loci, COBL and SLC10A2, for Alzheimer's disease in African Americans.",Late-onset Alzheimer's disease,"1,825 African American ancestry cases, 3,784 African American ancestry controls",,17q25.3,17,78891959,rs8077028-T,rs8077028,8077028,1.00E-06
SELP,27770636,"Two novel loci, COBL and SLC10A2, for Alzheimer's disease in African Americans.",Late-onset Alzheimer's disease,"1,825 African American ancestry cases, 3,784 African American ancestry controls",,1q24.2,1,169617708,rs2244526-T,rs2244526,2244526,6.00E-06
FAM19A5,27770636,"Two novel loci, COBL and SLC10A2, for Alzheimer's disease in African Americans.",Late-onset Alzheimer's disease,"1,825 African American ancestry cases, 3,784 African American ancestry controls",,22q13.32,22,48492443,rs1034435-A,rs1034435,1034435,3.00E-06
C1orf88,27770636,"Two novel loci, COBL and SLC10A2, for Alzheimer's disease in African Americans.",Late-onset Alzheimer's disease,"1,825 African American ancestry cases, 3,784 African American ancestry controls",,1p13.2,1,111350283,rs3820443-T,rs3820443,3820443,1.00E-06
IGSF23,27770636,"Two novel loci, COBL and SLC10A2, for Alzheimer's disease in African Americans.",Late-onset Alzheimer's disease,"1,825 African American ancestry cases, 3,784 African American ancestry controls",,19q13.31,19,44625528,rs846858-A,rs846858,846858,3.00E-06
SELO,27770636,"Two novel loci, COBL and SLC10A2, for Alzheimer's disease in African Americans.",Late-onset Alzheimer's disease,"1,825 African American ancestry cases, 3,784 African American ancestry controls",,22q13.33,22,50201044,rs5771225-T,rs5771225,5771225,5.00E-06
SYNGAP1,27770636,"Two novel loci, COBL and SLC10A2, for Alzheimer's disease in African Americans.",Late-onset Alzheimer's disease,"1,825 African American ancestry cases, 3,784 African American ancestry controls",,6p21.32,6,33427745,rs79926713-T,rs79926713,79926713,8.00E-06
SESTD1,27770636,"Two novel loci, COBL and SLC10A2, for Alzheimer's disease in African Americans.",Late-onset Alzheimer's disease,"1,825 African American ancestry cases, 3,784 African American ancestry controls",,2q31.2,2,179139721,rs62177277-T,rs62177277,62177277,2.00E-06
TAS2R5,27770636,"Two novel loci, COBL and SLC10A2, for Alzheimer's disease in African Americans.",Late-onset Alzheimer's disease,"1,825 African American ancestry cases, 3,784 African American ancestry controls",,7q34,7,141791266,rs2234017-C,rs2234017,2234017,7.00E-06
FAT3,27770636,"Two novel loci, COBL and SLC10A2, for Alzheimer's disease in African Americans.",Late-onset Alzheimer's disease,"1,825 African American ancestry cases, 3,784 African American ancestry controls",,11q14.3,11,92422052,rs147582129-T,rs147582129,147582129,9.00E-06
ABCA8,27770636,"Two novel loci, COBL and SLC10A2, for Alzheimer's disease in African Americans.",Late-onset Alzheimer's disease,"1,825 African American ancestry cases, 3,784 African American ancestry controls",,17q24.2,17,68920354,rs144216026-A,rs144216026,144216026,8.00E-06
NEK10,27770636,"Two novel loci, COBL and SLC10A2, for Alzheimer's disease in African Americans.",Late-onset Alzheimer's disease,"1,825 African American ancestry cases, 3,784 African American ancestry controls",,3p24.1,3,27236975,rs148587130-T,rs148587130,148587130,7.00E-06
SEC24B,27770636,"Two novel loci, COBL and SLC10A2, for Alzheimer's disease in African Americans.",Late-onset Alzheimer's disease,"1,825 African American ancestry cases, 3,784 African American ancestry controls",,4q25,4,109534350,rs182972826-T,rs182972826,182972826,4.00E-06
GTF2H3,27770636,"Two novel loci, COBL and SLC10A2, for Alzheimer's disease in African Americans.",Late-onset Alzheimer's disease,"1,825 African American ancestry cases, 3,784 African American ancestry controls",,12q24.31,12,123635804,rs141104697-A,rs141104697,141104697,8.00E-06
RASSF5,27770636,"Two novel loci, COBL and SLC10A2, for Alzheimer's disease in African Americans.",Late-onset Alzheimer's disease,"1,825 African American ancestry cases, 3,784 African American ancestry controls",,1q32.1,1,206526352,rs150269952-T,rs150269952,150269952,6.00E-06
COL25A1,27770636,"Two novel loci, COBL and SLC10A2, for Alzheimer's disease in African Americans.",Late-onset Alzheimer's disease,"1,825 African American ancestry cases, 3,784 African American ancestry controls",,4q25,4,109251730,rs144998240-A,rs144998240,144998240,8.00E-07
HMCN1,27770636,"Two novel loci, COBL and SLC10A2, for Alzheimer's disease in African Americans.",Late-onset Alzheimer's disease,"1,825 African American ancestry cases, 3,784 African American ancestry controls",,1q25.3,1,185780742,rs192013290-T,rs192013290,192013290,1.00E-06
KSR2,27770636,"Two novel loci, COBL and SLC10A2, for Alzheimer's disease in African Americans.",Late-onset Alzheimer's disease,"1,825 African American ancestry cases, 3,784 African American ancestry controls",,12q24.23,12,117861676,rs184614511-T,rs184614511,184614511,6.00E-06
JPH3,27770636,"Two novel loci, COBL and SLC10A2, for Alzheimer's disease in African Americans.",Late-onset Alzheimer's disease,"1,825 African American ancestry cases, 3,784 African American ancestry controls",,16q24.2,16,87653662,rs117760708-T,rs117760708,117760708,3.00E-06
TFEB,27770636,"Two novel loci, COBL and SLC10A2, for Alzheimer's disease in African Americans.",Late-onset Alzheimer's disease,"1,825 African American ancestry cases, 3,784 African American ancestry controls",,6p21.1,6,41696609,rs148003968-A,rs148003968,148003968,5.00E-06
DNAH6,27770636,"Two novel loci, COBL and SLC10A2, for Alzheimer's disease in African Americans.",Late-onset Alzheimer's disease,"1,825 African American ancestry cases, 3,784 African American ancestry controls",,2p11.2,2,84597852,rs185867524-A,rs185867524,185867524,5.00E-06
HDAC9,27770636,"Two novel loci, COBL and SLC10A2, for Alzheimer's disease in African Americans.",Late-onset Alzheimer's disease,"1,825 African American ancestry cases, 3,784 African American ancestry controls",,7p21.1,7,18212452,rs117756856-A,rs117756856,117756856,9.00E-06
SHANK2,27770636,"Two novel loci, COBL and SLC10A2, for Alzheimer's disease in African Americans.",Late-onset Alzheimer's disease,"1,825 African American ancestry cases, 3,784 African American ancestry controls",,11q13.4,11,70820116,rs184457411-A,rs184457411,184457411,8.00E-06
TBXAS1,27770636,"Two novel loci, COBL and SLC10A2, for Alzheimer's disease in African Americans.",Late-onset Alzheimer's disease,"1,825 African American ancestry cases, 3,784 African American ancestry controls",,7q34,7,139942249,rs192232892-T,rs192232892,192232892,3.00E-06
BIN1,21390209,Meta-analysis for genome-wide association study identifies multiple variants at the BIN1 locus associated with late-onset Alzheimer's disease.,Alzheimer's disease (late onset),"1,831 European ancestry cases, 1,764 European ancestry controls","751 cases, 751 controls",2q14.3,2,127137039,rs744373-?,rs744373,744373,1.00E-10
BIN1,21390209,Meta-analysis for genome-wide association study identifies multiple variants at the BIN1 locus associated with late-onset Alzheimer's disease.,Alzheimer's disease (late onset),"1,831 European ancestry cases, 1,764 European ancestry controls","751 cases, 751 controls",2q14.3,2,127130409,rs12989701-?,rs12989701,12989701,3.00E-10
BIN1,21627779,"The membrane-spanning 4-domains, subfamily A (MS4A) gene cluster contains a common variant associated with Alzheimer's disease.",Alzheimer's disease,"319 European ancestry cases, 769 European ancestry controls, 2,690 cases, 2,237 controls","4,982 European ancestry cases, 7,961 European ancestry controls, 2,190 cases, 3,374 controls",2q14.3,2,127137039,rs744373-?,rs744373,744373,2.00E-09
BIN1,22832961,Genome-wide association study of Alzheimer's disease.,Alzheimer's disease,"1,291 European ancestry cases, 938 European ancestry controls","509 European ancestry cases, 753 European ancestry controls, 2,218 cases, 2,583 controls",2q14.3,2,127132061,rs7561528-?,rs7561528,7561528,6.00E-11
BIN1,22005930,Genome-wide association study of Alzheimer's disease with psychotic symptoms.,Psychosis and Alzheimer's disease,"1,039 European ancestry cases with psychosis, 5,659 European ancestry controls, 260 European, African American and Native American ancestry cases with psychosis from 264 families",NA,2q14.3,2,127094445,rs10207628-?,rs10207628,10207628,1.00E-06
BIN1,25778476,A novel Alzheimer disease locus located near the gene encoding tau protein.,Alzheimer's disease in APOE e4- carriers,"7,184 cases, 26,968 controls","718 European ancestry cases, 1,699 European ancestry controls",2q14.3,2,127133851,rs4663105-C,rs4663105,4663105,2.00E-12
BIN1,25778476,A novel Alzheimer disease locus located near the gene encoding tau protein.,Alzheimer's disease in APOE e4+ carriers,"10,352 cases, 9,207 controls","1,250 European ancestry cases, 536 European ancestry controls",2q14.3,2,127135234,rs6733839-T,rs6733839,6733839,1.00E-09
BIN1,21460840,"Common variants at ABCA7, MS4A6A/MS4A4E, EPHA1, CD33 and CD2AP are associated with Alzheimer's disease.",Alzheimer's disease,"6,688 European ancestry cases, 13,685 European ancestry controls","13,182 European ancestry cases, 26,161 European ancestry controls",2q14.3,2,127137039,rs744373-?,rs744373,744373,3.00E-14
BIN1,21460841,"Common variants at MS4A4/MS4A6E, CD2AP, CD33 and EPHA1 are associated with late-onset Alzheimer's disease.",Alzheimer's disease (late onset),"8,309 European ancestry cases, 7,366 European ancestry controls","10,523 European ancestry cases, 28,231 European ancestry controls",2q14.3,2,127132061,rs7561528-A,rs7561528,7561528,4.00E-14
BIN1,28714976,"Rare coding variants in PLCG2, ABI3, and TREM2 implicate microglial-mediated innate immunity in Alzheimer's disease.",Alzheimer's disease (late onset),"up to 16,097 European ancestry cases, up to 18,077 European ancestry controls","up to 20,693 European ancestry cases, up to 30,266 European ancestry controls",2q14.3,2,127068957,rs1060743-?,rs1060743,1060743,5.00E-08
BIN1,24162737,"Meta-analysis of 74,046 individuals identifies 11 new susceptibility loci for Alzheimer's disease.",Alzheimer's disease (late onset),"17,008 European ancestry cases, 37,154 European ancestry controls","8,572 European ancestry cases, 11,312 European ancestry controls",2q14.3,2,127135234,rs6733839-T,rs6733839,6733839,7.00E-44
CLU,21627779,"The membrane-spanning 4-domains, subfamily A (MS4A) gene cluster contains a common variant associated with Alzheimer's disease.",Alzheimer's disease,"319 European ancestry cases, 769 European ancestry controls, 2,690 cases, 2,237 controls","4,982 European ancestry cases, 7,961 European ancestry controls, 2,190 cases, 3,374 controls",8p21.1,8,27630273,rs569214-?,rs569214,569214,4.00E-08
CLU,19734903,Genome-wide association study identifies variants at CLU and CR1 associated with Alzheimer's disease.,Alzheimer's disease,"2,032 European ancestry cases, 5,328 European ancestry controls","3,978 European ancestry cases, 3,297 European ancestry controls",8p21.1,8;8;8,27611345;27598736;27607002,rs9331888-G; rs2279590-C; rs11136000-C,rs9331888; rs2279590; rs11136000,NA,6.00E-10
CLU,25778476,A novel Alzheimer disease locus located near the gene encoding tau protein.,Alzheimer's disease in APOE e4- carriers,"7,184 cases, 26,968 controls","718 European ancestry cases, 1,699 European ancestry controls",8p21.1,8,27598736,rs2279590-C,rs2279590,2279590,2.00E-06
CLU,19734902,Genome-wide association study identifies variants at CLU and PICALM associated with Alzheimer's disease.,Alzheimer's disease,"3,941 European ancestry cases, 7,848 European ancestry controls","2,023 European ancestry cases, 2,340 European ancestry controls",8p21.1,8,27607002,rs11136000-?,rs11136000,11136000,9.00E-10
CLU,25778476,A novel Alzheimer disease locus located near the gene encoding tau protein.,Alzheimer's disease in APOE e4+ carriers,"10,352 cases, 9,207 controls","1,250 European ancestry cases, 536 European ancestry controls",8p21.1,8,27610169,rs9331896-T,rs9331896,9331896,3.00E-09
CLU,21460841,"Common variants at MS4A4/MS4A6E, CD2AP, CD33 and EPHA1 are associated with late-onset Alzheimer's disease.",Alzheimer's disease (late onset),"8,309 European ancestry cases, 7,366 European ancestry controls","10,523 European ancestry cases, 28,231 European ancestry controls",8p21.1,8,27608798,rs1532278-?,rs1532278,1532278,8.00E-08
CLU,28714976,"Rare coding variants in PLCG2, ABI3, and TREM2 implicate microglial-mediated innate immunity in Alzheimer's disease.",Alzheimer's disease (late onset),"up to 16,097 European ancestry cases, up to 18,077 European ancestry controls","up to 20,693 European ancestry cases, up to 30,266 European ancestry controls",8p21.1,8,27608798,rs1532278-?,rs1532278,1532278,6.00E-10
CLU,24162737,"Meta-analysis of 74,046 individuals identifies 11 new susceptibility loci for Alzheimer's disease.",Alzheimer's disease (late onset),"17,008 European ancestry cases, 37,154 European ancestry controls","8,572 European ancestry cases, 11,312 European ancestry controls",8p21.1,8,27610169,rs9331896-T,rs9331896,9331896,3.00E-25
CD33,18976728,Genome-wide association analysis reveals putative Alzheimer's disease susceptibility loci in addition to APOE.,Alzheimer's disease,941 European ancestry cases and 404 European ancestry controls from 410 families,"1,767 European ancestry cases and 838 European ancestry controls from 875 families",19q13.41,19,51223357,rs3826656-?,rs3826656,3826656,6.00E-06
CD33,21460841,"Common variants at MS4A4/MS4A6E, CD2AP, CD33 and EPHA1 are associated with late-onset Alzheimer's disease.",Alzheimer's disease (late onset),"8,309 European ancestry cases, 7,366 European ancestry controls","10,523 European ancestry cases, 28,231 European ancestry controls",19q13.41,19,51224706,rs3865444-?,rs3865444,3865444,2.00E-09
CD33,28714976,"Rare coding variants in PLCG2, ABI3, and TREM2 implicate microglial-mediated innate immunity in Alzheimer's disease.",Alzheimer's disease (late onset),"up to 16,097 European ancestry cases, up to 18,077 European ancestry controls","up to 20,693 European ancestry cases, up to 30,266 European ancestry controls",19q13.41,19,51224706,rs3865444-?,rs3865444,3865444,2.00E-06
CD33,24162737,"Meta-analysis of 74,046 individuals identifies 11 new susceptibility loci for Alzheimer's disease.",Alzheimer's disease (late onset),"17,008 European ancestry cases, 37,154 European ancestry controls","8,572 European ancestry cases, 11,312 European ancestry controls",19q13.41,19,51224706,rs3865444-C,rs3865444,3865444,3.00E-06
CR1,27770636,"Two novel loci, COBL and SLC10A2, for Alzheimer's disease in African Americans.",Late-onset Alzheimer's disease,"1,825 African American ancestry cases, 3,784 African American ancestry controls",,19q13.33,19,47635083,rs191404864-A,rs191404864,191404864,5.00E-06
